state,year,pct_ev,pct_phev,pct_hev,pct_biodiesel,pct_e85,pct_cng,pct_propane,pct_hydrogen,pct_methanol,pct_gasoline,pct_diesel
Alabama,2021,0.09966918313682245,0.06998049028755621,0.9012638900670117,0.8588514717109169,9.532191025532276,0.010603104589023667,0.0021206209178047334,0.0,0.0,85.90635338026973,2.618966833488846
Alaska,2021,0.23098791755508172,0.08884150675195451,1.297085998578536,1.3503909026297085,8.901918976545842,0.017768301350390904,0.0,0.0,0.0,82.48045486851457,5.6325515280739165
Arizona,2021,0.6471925835228267,0.2464738340197497,2.1021832811232843,0.81097842161337,7.321067947270501,0.014311383910824177,0.014311383910824177,0.0,0.0,85.7935662378552,3.0499149267734187
Arkansas,2021,0.08955558043210567,0.06716668532407925,0.9739169371991492,1.0709354826672637,10.828762267248777,0.011194447554013208,0.0,0.0,0.0,83.6449121235867,3.31355647598791
California,2021,1.609312348349962,0.9011120288310122,3.8750960986107503,0.46756082434745827,3.8388001177475912,0.036010185738251675,0.00428692687360139,0.033723824738997606,0.0,87.20352328229986,2.030574362462525
Colorado,2021,0.7070649162032525,0.30766878786141527,2.170880391369986,1.0281106078847293,6.625389363450476,0.011465917560052743,0.0019109862600087905,0.0,0.0,85.16501366355176,3.9824953658583198
Connecticut,2021,0.46658480968251187,0.3227503946676022,1.9435186809331695,0.308717768812489,4.935976144536046,0.014032625855113138,0.0,0.0,0.0,90.45430626205929,1.55411331345378
Delaware,2021,0.33174831361273915,0.22116554240849276,1.8467322791109144,0.45338936193741014,7.453278779166206,0.011058277120424639,0.0,0.0,0.0,88.06811898706182,1.614508459581997
District of Columbia,2021,1.1522890065400186,0.7785736530675802,5.014014325755216,0.09342883836810963,5.418872625350358,0.03114294612270321,0.0,0.0,0.0,86.85767673621925,0.6540018685767673
Florida,2021,0.5421898571930899,0.1826204330713127,1.6277038599834395,0.733317453295675,6.548246957271356,0.003402865212508933,0.0005671442020848221,0.0,0.0,88.45124261294677,1.9107088168237658
Georgia,2021,0.3648655899554649,0.14594623598218598,1.3757579009497236,0.7533401298492247,7.996995224553308,0.007511938616730161,0.003219402264312926,0.0,0.0,87.1717551108011,2.180608467027955
Hawaii,2021,1.3190896423594984,0.41802136553646074,2.675336739433349,0.26010218300046445,3.9201114723641433,0.009289363678588016,0.0,0.0,0.0,89.93961913608918,1.4584300975383186
Idaho,2021,0.1860020194504969,0.1328585853217835,1.6155603975128874,1.7749906998990275,7.041505022054525,0.01594303023861402,0.0053143434128713396,0.0,0.0,82.13317744592655,7.094648456183239
Illinois,2021,0.3661680761629598,0.18358563818581275,2.149858047170474,0.4825393003681745,8.249315315857586,0.008025601669325148,0.0010032002086656435,0.0,0.0,86.85506766585408,1.7044371545229282
Indiana,2021,0.1722966816321797,0.12425241463859114,1.461208396149832,0.6809032322194795,9.731449114494458,0.013253590894783056,0.001656698861847882,0.0,0.0,85.30342439654744,2.511555474561389
Iowa,2021,0.12126773950378551,0.11799023303071024,1.392940251056996,1.0193045131264133,11.261512241486676,0.009832519419225852,0.0,0.0,0.0,82.77014847104323,3.307004031332962
Kansas,2021,0.1748999183800381,0.12825994014536127,1.4885926386567687,0.8317462785184033,10.14030860118932,0.01554665941155894,0.003886664852889735,0.0,0.0,83.87811419021338,3.338645108632283
Kentucky,2021,0.10531066646607493,0.07772930143924578,1.2110726643598615,0.6795045383882453,9.172057569831003,0.015044380923724988,0.0,0.0,0.0,85.82568577303043,2.913595105561406
Louisiana,2021,0.08422604163924934,0.05264127602453083,0.6843365883189009,1.4318427078672387,10.875687626668071,0.007896191403679625,0.0,0.0,0.0,83.83649619666781,3.026873371410523
Maine,2021,0.24473813020068524,0.34263338228095935,2.080274106705825,0.742372328275412,9.153206069505629,0.008157937673356175,0.0,0.0,0.0,85.19334312285855,2.235274922499592
Maryland,2021,0.5100516028770099,0.34269092068299095,2.60803729752346,0.5518917734255145,6.917574864019446,0.00796955629495328,0.0,0.0,0.0,87.27859576418084,1.783188220995796
Massachusetts,2021,0.5656108597285068,0.4116905274089459,2.5739930272234997,0.3245308211557006,5.691343372153401,0.007417847340701729,0.0,0.0,0.0,89.31829982938952,1.107113715599733
Michigan,2021,0.20966621139146477,0.2060719334818968,1.274770565260106,0.6242062636283037,10.929001030359666,0.005990463182613279,0.001198092636522656,0.0,0.0,84.67399899360218,2.0750964464572403
Minnesota,2021,0.28959206131629245,0.17182462304766685,1.8379442824874026,0.7741761105855551,10.593277602949978,0.0057918412263258485,0.0,0.0,0.0,83.84269359229299,2.4846998860937894
Mississippi,2021,0.04780114722753346,0.0404471245771437,0.6876011178114428,1.0075011031033976,11.21488454184439,0.007354022650389763,0.0,0.0,0.0,84.1998823356376,2.7945286071481097
Missouri,2021,0.1812513593851954,0.13050097875734068,1.5515116363372725,1.0113825853693903,10.920394402958022,0.03262524468933517,0.001812513593851954,0.0,0.0,83.05118538389038,3.119335895019213
Montana,2021,0.16369961121342336,0.11254348270922858,1.4221403724166155,2.813587067730714,10.282381829343155,0.01023122570083896,0.0,0.0,0.0,77.9414773889912,7.253939021894823
Nebraska,2021,0.14200063111391606,0.10518565267697486,1.2464499842221521,1.1360050489113285,10.650047333543705,0.010518565267697486,0.0,0.0,0.0,82.82844220048385,3.881350583780372
Nevada,2021,0.7088731361525299,0.2566609630897091,2.04513973763546,0.8677584942556832,5.442842010918276,0.012221950623319482,0.0040739835411064945,0.0,0.0,87.21176566446671,3.4506640593172
