state,year,days_with_aqi,max_aqi,90th_percentile_aqi,median_aqi,pct_good_days,pct_moderate_days,pct_unhealthy_for_sensitive_groups_days,pct_unhealthy_days,pct_very_unhealthy_days,pct_hazardous_days,pct_days_co,pct_days_no2,pct_days_ozone,pct_days_pm2.5,pct_days_pm10,pct_bad_days
Alabama,2000,201.0909090909091,151.13636363636363,95.81818181818181,52.72727272727273,0.4605567388814895,0.43914467089995735,0.08670398332482568,0.012600867536753867,0.0009937393569735557,0.0,0.005216095380029806,0.0030409731113956464,0.38752046067158474,0.478625300625132,0.12559717021185787,0.5394432611185104
Alabama,2001,219.0,137.04761904761904,80.52380952380952,45.57142857142857,0.5957639618983838,0.3604520235375798,0.03689214165425427,0.005848167756488002,0.0010437051532941944,0.0,0.008871493803000653,0.0010025062656641604,0.4442488682324207,0.4265178557793946,0.11935927591951989,0.40423603810161635
Alabama,2002,238.8181818181818,143.8181818181818,79.63636363636364,42.90909090909091,0.6409234920758818,0.30808232675758185,0.04437433340216774,0.006334128431724193,0.0002857193326444274,0.0,0.00718127573745693,0.0037105751391465673,0.5090108557641224,0.36471332607679285,0.11538396728248128,0.3590765079241182
Alabama,2003,234.0,132.75,73.5,43.416666666666664,0.6313390629045024,0.3382551379997718,0.028684448889055383,0.0017213502066704695,0.0,0.0,0.004488950276243094,0.0018291750310677757,0.4861472288603516,0.4024073616879094,0.10512728414442812,0.36866093709549763
Alabama,2004,236.8,120.2,69.8,42.28,0.6840215479321796,0.29358004352851785,0.02122985333238939,0.0010571345940997524,0.00011142061281337047,0.0,0.001092896174863388,0.0031910775791372807,0.523395089796395,0.3752919614187869,0.0970289750308174,0.3159784520678204
Alabama,2005,237.25,122.79166666666667,74.5,44.125,0.6446123145555582,0.3246213982075881,0.028873950803323886,0.0018923364335297203,0.0,0.0,0.004452054794520548,0.009408602150537635,0.5264375837234977,0.3598683377169136,0.09983342161453058,0.35538768544444177
Alabama,2006,244.6086956521739,130.2608695652174,77.8695652173913,45.82608695652174,0.5989425242178379,0.36134133395059903,0.03618124413025085,0.0034157791783819306,0.00011911852293031566,0.0,0.005836807623585467,0.0,0.5494305480451444,0.342016770201282,0.10271587412998823,0.4010574757821621
Alabama,2007,277.0,155.4,87.95,49.85,0.5298071734525205,0.4112398739162925,0.051924815921271385,0.006891150408545636,0.000136986301369863,0.0,0.0027397260273972603,0.0,0.5576281923997964,0.4195691317779147,0.020062949794891642,0.47019282654747946
Alabama,2008,267.05263157894734,114.26315789473684,68.42105263157895,44.31578947368421,0.6490616555192213,0.3394153569580683,0.010577134087459852,0.00094585343525056,0.0,0.0,0.0030198446937014668,0.0,0.47468411410398836,0.5016576605815144,0.020638380620795704,0.3509383444807787
Alabama,2009,272.36842105263156,98.89473684210526,59.05263157894737,39.473684210526315,0.7529948002171496,0.24410095718990532,0.002904242592945007,0.0,0.0,0.0,0.0005767844268204759,0.0,0.43599575096645005,0.5422506237003499,0.02117684090637955,0.24700519978285032
Alabama,2010,282.2631578947368,112.26315789473684,70.3157894736842,46.1578947368421,0.6069858772596612,0.37996995284930357,0.012088741011356033,0.0009554288796792415,0.0,0.0,0.00014419610670511897,0.0,0.4254780612354079,0.5492926370085872,0.02508510564929982,0.39301412274033887
Alabama,2011,248.52631578947367,111.52631578947368,69.42105263157895,42.78947368421053,0.6957268592656013,0.29073760706115087,0.012483720228239167,0.001051813445008616,0.0,0.0,0.00028839221341023794,0.0,0.5668423452769522,0.41849897778709927,0.014370284722538283,0.3042731407343987
Alabama,2012,263.5882352941176,110.23529411764706,62.1764705882353,40.11764705882353,0.7771765814641394,0.21116354959372385,0.011016988839275915,0.0006428801028608164,0.0,0.0,0.0,0.0,0.5972729286122176,0.39206497399720647,0.010662097390575971,0.2228234185358606
Alabama,2013,260.6666666666667,86.05555555555556,52.94444444444444,37.388888888888886,0.8530270733184069,0.1464735809046699,0.0004993457769232823,0.0,0.0,0.0,0.0,0.00015220700152207003,0.6083635893303393,0.3817890420578725,0.00969516161026615,0.14697292668159317
Alabama,2014,260.44444444444446,93.33333333333333,55.666666666666664,38.166666666666664,0.8292873974277778,0.16783382616612466,0.0028787764060975063,0.0,0.0,0.0,0.0,0.00106544901065449,0.6073100427023665,0.3819206917671234,0.009703816519855565,0.1707126025722222
Alabama,2015,287.27777777777777,105.72222222222223,56.22222222222222,39.333333333333336,0.7787487861354979,0.21757604017295634,0.0032185526869794676,0.00045662100456621,0.0,0.0,0.0,0.00182648401826484,0.44922195455791414,0.5393190979100789,0.009632463513742051,0.22125121386450203
Alabama,2016,277.55555555555554,111.44444444444444,54.77777777777778,39.44444444444444,0.8130193048833614,0.1818416957281367,0.004360677797028379,0.0007783215914736034,0.0,0.0,0.0,0.0024286581663630845,0.5350048552444123,0.4514337691723542,0.011132717416870422,0.18698069511663867
Alabama,2017,286.44444444444446,104.33333333333333,53.94444444444444,38.44444444444444,0.815664335943861,0.18175703990038994,0.002263737978627817,0.00015432098765432098,0.00016056518946692356,0.0,0.0,0.00030441400304414006,0.5086484800480697,0.48130358610518226,0.009743519843703856,0.184335664056139
Alabama,2018,294.5882352941176,98.52941176470588,54.35294117647059,36.76470588235294,0.81870805956312,0.17971383475362326,0.001235391225581293,0.0003427144576755106,0.0,0.0,0.0,0.00032232070910556004,0.5313629791001463,0.46750889841798426,0.0008058017727639,0.18129194043688007
