state,county,year,days_with_aqi,max_aqi,90th_percentile_aqi,median_aqi,pct_good_days,pct_moderate_days,pct_unhealthy_for_sensitive_groups_days,pct_unhealthy_days,pct_very_unhealthy_days,pct_hazardous_days,pct_days_co,pct_days_no2,pct_days_ozone,pct_days_pm2.5,pct_days_pm10,pct_bad_days
Alabama,Baldwin,2000,257,205,129,54,0.43190661478599224,0.3735408560311284,0.1517509727626459,0.038910505836575876,0.0038910505836575876,0.0,0.0,0.0,0.8365758754863813,0.16342412451361868,0.0,0.5680933852140078
Alabama,Clay,2000,271,177,90,46,0.5719557195571956,0.3726937269372694,0.05166051660516605,0.0036900369003690036,0.0,0.0,0.0,0.0,0.6937269372693727,0.3062730627306273,0.0,0.4280442804428044
Alabama,Colbert,2000,106,124,80,58,0.3584905660377358,0.6226415094339622,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6415094339622641
Alabama,DeKalb,2000,354,159,115,51,0.4774011299435028,0.3474576271186441,0.1638418079096045,0.011299435028248588,0.0,0.0,0.0,0.0,0.8389830508474576,0.15819209039548024,0.002824858757062147,0.5225988700564972
Alabama,Elmore,2000,242,166,112,50,0.5165289256198347,0.32231404958677684,0.15289256198347106,0.008264462809917356,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4834710743801653
Alabama,Escambia,2000,119,123,83,57,0.3025210084033613,0.6722689075630253,0.025210084033613446,0.0,0.0,0.0,0.0,0.0,0.0,0.957983193277311,0.04201680672268908,0.6974789915966386
Alabama,Etowah,2000,101,141,87,59,0.33663366336633666,0.594059405940594,0.06930693069306931,0.0,0.0,0.0,0.0,0.0,0.0,0.8217821782178217,0.1782178217821782,0.6633663366336634
Alabama,Houston,2000,102,120,79,54,0.4411764705882353,0.5490196078431373,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.9215686274509803,0.0784313725490196,0.5588235294117647
Alabama,Jefferson,2000,366,208,140,79,0.06830601092896176,0.6530054644808743,0.1994535519125683,0.06830601092896176,0.01092896174863388,0.0,0.09562841530054644,0.0,0.226775956284153,0.6366120218579235,0.040983606557377046,0.9316939890710383
Alabama,Lawrence,2000,272,172,101,51,0.5,0.3897058823529412,0.10661764705882353,0.003676470588235294,0.0,0.0,0.0,0.0,0.7683823529411765,0.23161764705882354,0.0,0.5
Alabama,Madison,2000,366,187,100,48,0.5437158469945356,0.35792349726775957,0.08196721311475409,0.01639344262295082,0.0,0.0,0.01912568306010929,0.0,0.7213114754098361,0.22404371584699453,0.03551912568306011,0.4562841530054645
Alabama,Marengo,2000,57,49,31,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alabama,Mobile,2000,285,187,122,60,0.37894736842105264,0.4280701754385965,0.16140350877192983,0.031578947368421054,0.0,0.0,0.0,0.0,0.7228070175438597,0.24210526315789474,0.03508771929824561,0.6210526315789474
Alabama,Montgomery,2000,281,195,115,54,0.41637010676156583,0.4128113879003559,0.15302491103202848,0.017793594306049824,0.0,0.0,0.0,0.0,0.697508896797153,0.298932384341637,0.0035587188612099642,0.5836298932384342
Alabama,Morgan,2000,222,187,121,63,0.36036036036036034,0.42342342342342343,0.18468468468468469,0.03153153153153153,0.0,0.0,0.0,0.0,0.6936936936936937,0.24324324324324326,0.06306306306306306,0.6396396396396397
Alabama,Pike,2000,59,46,37,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alabama,Russell,2000,118,144,92,61,0.288135593220339,0.652542372881356,0.059322033898305086,0.0,0.0,0.0,0.0,0.0,0.0,0.9067796610169492,0.09322033898305085,0.711864406779661
Alabama,Shelby,2000,284,214,122,57,0.44366197183098594,0.36971830985915494,0.13380281690140844,0.045774647887323945,0.007042253521126761,0.0,0.0,0.06690140845070422,0.6443661971830986,0.27816901408450706,0.01056338028169014,0.5563380281690141
Alabama,Sumter,2000,273,147,93,44,0.6227106227106227,0.304029304029304,0.07326007326007326,0.0,0.0,0.0,0.0,0.0,0.6813186813186813,0.31868131868131866,0.0,0.3772893772893773
Alabama,Talladega,2000,113,136,91,59,0.3185840707964602,0.6371681415929203,0.04424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.911504424778761,0.08849557522123894,0.6814159292035398
Alabama,Tuscaloosa,2000,107,126,84,56,0.3925233644859813,0.5700934579439252,0.037383177570093455,0.0,0.0,0.0,0.0,0.0,0.0,0.9813084112149533,0.018691588785046728,0.6074766355140186
Alabama,Walker,2000,69,112,84,56,0.36231884057971014,0.6086956521739131,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.927536231884058,0.07246376811594203,0.6376811594202898
Alaska,Anchorage ,2000,304,95,51,28,0.8782894736842105,0.12171052631578948,0.0,0.0,0.0,0.0,0.4769736842105263,0.0,0.0,0.19736842105263158,0.3256578947368421,0.12171052631578948
Alaska,Denali ,2000,363,106,34,28,0.9944903581267218,0.0027548209366391185,0.0027548209366391185,0.0,0.0,0.0,0.0,0.0,0.9889807162534435,0.011019283746556474,0.0,0.005509641873278237
Alaska,Fairbanks North Star ,2000,243,169,81,32,0.6954732510288066,0.25925925925925924,0.03292181069958848,0.012345679012345678,0.0,0.0,0.5267489711934157,0.0,0.0,0.4691358024691358,0.00411522633744856,0.3045267489711934
Alaska,Juneau ,2000,126,107,60,18,0.8571428571428571,0.1349206349206349,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.9841269841269841,0.015873015873015872,0.14285714285714285
Alaska,Ketchikan Gateway ,2000,60,93,59,13,0.8166666666666667,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18333333333333332
Alaska,Matanuska-Susitna ,2000,122,115,58,17,0.8524590163934426,0.13934426229508196,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.9098360655737705,0.09016393442622951,0.14754098360655737
Arizona,Apache,2000,69,45,28,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Arizona,Cochise,2000,354,132,80,46,0.6497175141242938,0.3333333333333333,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.923728813559322,0.03672316384180791,0.03954802259887006,0.3502824858757062
Arizona,Coconino,2000,364,126,80,47,0.6236263736263736,0.3626373626373626,0.013736263736263736,0.0,0.0,0.0,0.0,0.0,0.967032967032967,0.03296703296703297,0.0,0.37637362637362637
Arizona,Gila,2000,151,84,68,32,0.7682119205298014,0.23178807947019867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8211920529801324,0.17880794701986755,0.23178807947019867
Arizona,Graham,2000,42,70,41,24,0.9285714285714286,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142
Arizona,Maricopa,2000,366,174,136,97,0.05737704918032787,0.48633879781420764,0.40437158469945356,0.05191256830601093,0.0,0.0,0.00273224043715847,0.3224043715846995,0.5273224043715847,0.09016393442622951,0.05737704918032787,0.9426229508196722
Arizona,Mohave,2000,62,65,51,31,0.8709677419354839,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.967741935483871,0.12903225806451613
Arizona,Navajo,2000,120,37,25,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0
Arizona,Pima,2000,366,136,90,51,0.4781420765027322,0.45901639344262296,0.06284153005464481,0.0,0.0,0.0,0.01092896174863388,0.1448087431693989,0.6202185792349727,0.01366120218579235,0.2103825136612022,0.5218579234972678
Arizona,Pinal,2000,120,123,52,32,0.8916666666666667,0.1,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.10833333333333334
Arizona,Santa Cruz,2000,60,106,82,50,0.5333333333333333,0.43333333333333335,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.4666666666666667
Arizona,Yavapai,2000,354,151,97,48,0.556497175141243,0.3644067796610169,0.07627118644067797,0.002824858757062147,0.0,0.0,0.0,0.0,0.980225988700565,0.011299435028248588,0.00847457627118644,0.4435028248587571
Arizona,Yuma,2000,206,93,56,38,0.8689320388349514,0.13106796116504854,0.0,0.0,0.0,0.0,0.0,0.0,0.8252427184466019,0.0,0.17475728155339806,0.13106796116504854
Arkansas,Arkansas,2000,101,101,75,56,0.38613861386138615,0.6039603960396039,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6138613861386139
Arkansas,Ashley,2000,90,108,82,56,0.26666666666666666,0.7222222222222222,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7333333333333333
Arkansas,Clark,2000,347,147,90,39,0.7636887608069164,0.1642651296829971,0.07204610951008646,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23631123919308358
Arkansas,Craighead,2000,57,90,79,55,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666
Arkansas,Crittenden,2000,366,177,100,42,0.644808743169399,0.2677595628415301,0.06830601092896176,0.01912568306010929,0.0,0.0,0.0,0.0,0.8469945355191257,0.15300546448087432,0.0,0.3551912568306011
Arkansas,Faulkner,2000,40,84,77,56,0.325,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.675
Arkansas,Garland,2000,106,99,70,51,0.4811320754716981,0.5188679245283019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5188679245283019
Arkansas,Jefferson,2000,57,82,76,56,0.2982456140350877,0.7017543859649122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7017543859649122
Arkansas,Marion,2000,49,76,65,42,0.7755102040816326,0.22448979591836735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22448979591836735
Arkansas,Miller,2000,42,91,77,52,0.4523809523809524,0.5476190476190477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5476190476190477
Arkansas,Mississippi,2000,20,86,84,57,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6
Arkansas,Montgomery,2000,352,119,61,34,0.8522727272727273,0.13636363636363635,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14772727272727273
Arkansas,Newton,2000,363,129,84,43,0.7079889807162535,0.2534435261707989,0.03856749311294766,0.0,0.0,0.0,0.0,0.0,0.8980716253443526,0.10192837465564739,0.0,0.29201101928374656
Arkansas,Phillips,2000,112,99,76,54,0.4107142857142857,0.5892857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5892857142857143
Arkansas,Polk,2000,125,85,69,51,0.48,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.52
Arkansas,Pope,2000,114,105,73,55,0.38596491228070173,0.6052631578947368,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6140350877192983
Arkansas,Pulaski,2000,366,200,105,62,0.28415300546448086,0.6038251366120219,0.07377049180327869,0.03825136612021858,0.0,0.0,0.00273224043715847,0.00546448087431694,0.3551912568306011,0.6338797814207651,0.00273224043715847,0.7158469945355191
Arkansas,Sebastian,2000,115,91,69,52,0.43478260869565216,0.5652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5652173913043478
Arkansas,Union,2000,97,101,77,54,0.4020618556701031,0.5876288659793815,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5979381443298969
Arkansas,Washington,2000,96,97,69,50,0.5208333333333334,0.4791666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4791666666666667
Arkansas,White,2000,34,83,76,56,0.35294117647058826,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6470588235294118
California,Alameda,2000,366,209,70,39,0.8005464480874317,0.16120218579234974,0.030054644808743168,0.00546448087431694,0.00273224043715847,0.0,0.00546448087431694,0.3524590163934426,0.4972677595628415,0.1448087431693989,0.0,0.1994535519125683
California,Amador,2000,366,192,112,44,0.6502732240437158,0.226775956284153,0.09289617486338798,0.030054644808743168,0.0,0.0,0.040983606557377046,0.0,0.9590163934426229,0.0,0.0,0.34972677595628415
California,Butte,2000,361,174,108,44,0.6260387811634349,0.24376731301939059,0.11080332409972299,0.019390581717451522,0.0,0.0,0.0443213296398892,0.11357340720221606,0.7202216066481995,0.06925207756232687,0.05263157894736842,0.3739612188365651
California,Calaveras,2000,364,200,115,38,0.6730769230769231,0.19505494505494506,0.09340659340659341,0.038461538461538464,0.0,0.0,0.07967032967032966,0.0,0.8543956043956044,0.06318681318681318,0.0027472527472527475,0.3269230769230769
California,Colusa,2000,365,105,61,36,0.8383561643835616,0.14794520547945206,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.7671232876712328,0.0821917808219178,0.1506849315068493,0.16164383561643836
California,Contra Costa,2000,366,172,89,43,0.6857923497267759,0.25136612021857924,0.060109289617486336,0.00273224043715847,0.0,0.0,0.0,0.11202185792349727,0.587431693989071,0.2978142076502732,0.00273224043715847,0.31420765027322406
California,Del Norte,2000,134,53,29,14,0.9925373134328358,0.007462686567164179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6492537313432836,0.35074626865671643,0.007462686567164179
